date,arrival_time,hour,day_of_week,day_name,month,month_sin,month_cos,is_end_of_month,is_holiday,is_pre_holiday,is_peak_day,is_peak_hour,queue_length_at_arrival,waiting_time_min,service_time_min,total_time_in_system_min,queue_length_lag1,waiting_time_lag1,is_weekend
2026-01-01,2026-01-01 10:09:00,10,3,Thursday,1,0.0,1.0,0,1,0,0,1,25,26.8,44.5,71.4,4.0,18.1,0
2026-01-01,2026-01-01 10:14:00,10,3,Thursday,1,0.0,1.0,0,1,0,0,1,8,21.0,25.4,46.5,25.0,26.8,0
2026-01-01,2026-01-01 10:39:00,10,3,Thursday,1,0.0,1.0,0,1,0,0,1,24,26.5,35.4,61.9,8.0,21.0,0
2026-01-01,2026-01-01 10:52:00,10,3,Thursday,1,0.0,1.0,0,1,0,0,1,10,24.6,20.6,45.2,24.0,26.5,0
2026-01-01,2026-01-01 10:59:00,10,3,Thursday,1,0.0,1.0,0,1,0,0,1,2,22.4,15.3,37.7,10.0,24.6,0
2026-01-01,2026-01-01 11:10:00,11,3,Thursday,1,0.0,1.0,0,1,0,0,1,9,17.7,29.6,47.3,2.0,22.4,0
2026-01-01,2026-01-01 11:23:00,11,3,Thursday,1,0.0,1.0,0,1,0,0,1,9,18.9,15.1,34.0,9.0,17.7,0
2026-01-01,2026-01-01 11:32:00,11,3,Thursday,1,0.0,1.0,0,1,0,0,1,11,20.1,22.2,42.3,9.0,18.9,0
2026-01-01,2026-01-01 11:40:00,11,3,Thursday,1,0.0,1.0,0,1,0,0,1,10,21.9,27.5,49.4,11.0,20.1,0
2026-01-01,2026-01-01 12:02:00,12,3,Thursday,1,0.0,1.0,0,1,0,0,0,11,12.9,19.7,32.7,10.0,21.9,0
2026-01-01,2026-01-01 12:13:00,12,3,Thursday,1,0.0,1.0,0,1,0,0,0,10,12.0,29.2,41.2,11.0,12.9,0
2026-01-01,2026-01-01 12:32:00,12,3,Thursday,1,0.0,1.0,0,1,0,0,0,8,10.4,28.4,38.8,10.0,12.0,0
2026-01-01,2026-01-01 12:34:00,12,3,Thursday,1,0.0,1.0,0,1,0,0,0,6,11.9,34.4,46.3,8.0,10.4,0
2026-01-01,2026-01-01 12:36:00,12,3,Thursday,1,0.0,1.0,0,1,0,0,0,9,12.8,20.5,33.3,6.0,11.9,0
2026-01-01,2026-01-01 13:06:00,13,3,Thursday,1,0.0,1.0,0,1,0,0,0,7,14.1,32.6,46.7,9.0,12.8,0
2026-01-01,2026-01-01 13:22:00,13,3,Thursday,1,0.0,1.0,0,1,0,0,0,5,15.5,33.9,49.3,7.0,14.1,0
2026-01-01,2026-01-01 13:38:00,13,3,Thursday,1,0.0,1.0,0,1,0,0,0,5,14.9,33.2,48.0,5.0,15.5,0
2026-01-01,2026-01-01 13:41:00,13,3,Thursday,1,0.0,1.0,0,1,0,0,0,4,14.7,15.6,30.4,5.0,14.9,0
2026-01-01,2026-01-01 13:41:00,13,3,Thursday,1,0.0,1.0,0,1,0,0,0,10,16.4,17.1,33.5,4.0,14.7,0
2026-01-01,2026-01-01 14:05:00,14,3,Thursday,1,0.0,1.0,0,1,0,0,1,10,22.6,24.7,47.3,10.0,16.4,0
2026-01-01,2026-01-01 14:10:00,14,3,Thursday,1,0.0,1.0,0,1,0,0,1,8,21.3,32.9,54.2,10.0,22.6,0
2026-01-01,2026-01-01 14:27:00,14,3,Thursday,1,0.0,1.0,0,1,0,0,1,5,20.6,32.9,53.5,8.0,21.3,0
2026-01-01,2026-01-01 14:32:00,14,3,Thursday,1,0.0,1.0,0,1,0,0,1,9,19.9,33.9,53.8,5.0,20.6,0
2026-01-01,2026-01-01 14:38:00,14,3,Thursday,1,0.0,1.0,0,1,0,0,1,12,25.2,34.6,59.8,9.0,19.9,0
2026-01-01,2026-01-01 14:53:00,14,3,Thursday,1,0.0,1.0,0,1,0,0,1,9,20.6,29.1,49.7,12.0,25.2,0
2026-01-01,2026-01-01 14:56:00,14,3,Thursday,1,0.0,1.0,0,1,0,0,1,10,24.6,21.1,45.7,9.0,20.6,0
2026-01-01,2026-01-01 15:31:00,15,3,Thursday,1,0.0,1.0,0,1,0,0,1,4,20.2,28.6,48.8,10.0,24.6,0
2026-01-01,2026-01-01 15:48:00,15,3,Thursday,1,0.0,1.0,0,1,0,0,1,8,16.7,24.9,41.6,4.0,20.2,0
2026-01-01,2026-01-01 15:48:00,15,3,Thursday,1,0.0,1.0,0,1,0,0,1,9,16.1,15.7,31.8,8.0,16.7,0
2026-01-01,2026-01-01 15:48:00,15,3,Thursday,1,0.0,1.0,0,1,0,0,1,7,20.6,15.7,36.2,9.0,16.1,0
2026-01-01,2026-01-01 16:03:00,16,3,Thursday,1,0.0,1.0,0,1,0,0,0,9,9.8,19.8,29.6,7.0,20.6,0
2026-01-01,2026-01-01 16:18:00,16,3,Thursday,1,0.0,1.0,0,1,0,0,0,8,10.7,18.5,29.2,9.0,9.8,0
2026-01-01,2026-01-01 16:21:00,16,3,Thursday,1,0.0,1.0,0,1,0,0,0,2,11.4,18.0,29.4,8.0,10.7,0
2026-01-01,2026-01-01 16:32:00,16,3,Thursday,1,0.0,1.0,0,1,0,0,0,8,10.9,33.7,44.6,2.0,11.4,0
2026-01-01,2026-01-01 16:37:00,16,3,Thursday,1,0.0,1.0,0,1,0,0,0,5,10.8,34.7,45.5,8.0,10.9,0
2026-01-01,2026-01-01 16:43:00,16,3,Thursday,1,0.0,1.0,0,1,0,0,0,7,11.1,19.8,30.9,5.0,10.8,0
2026-01-01,2026-01-01 16:58:00,16,3,Thursday,1,0.0,1.0,0,1,0,0,0,4,10.2,26.8,37.0,7.0,11.1,0
2026-01-01,2026-01-01 16:58:00,16,3,Thursday,1,0.0,1.0,0,1,0,0,0,11,10.3,25.2,35.5,4.0,10.2,0
2026-01-02,2026-01-02 08:07:00,8,4,Friday,1,0.0,1.0,0,0,0,1,0,9,23.9,27.1,51.0,8.0,25.0,0
2026-01-02,2026-01-02 08:10:00,8,4,Friday,1,0.0,1.0,0,0,0,1,0,10,21.0,19.2,40.1,9.0,23.9,0
2026-01-02,2026-01-02 08:15:00,8,4,Friday,1,0.0,1.0,0,0,0,1,0,10,24.1,25.3,49.4,10.0,21.0,0
2026-01-02,2026-01-02 08:30:00,8,4,Friday,1,0.0,1.0,0,0,0,1,0,4,24.5,19.6,44.1,10.0,24.1,0
2026-01-02,2026-01-02 08:47:00,8,4,Friday,1,0.0,1.0,0,0,0,1,0,5,24.3,32.7,57.0,4.0,24.5,0
2026-01-02,2026-01-02 08:48:00,8,4,Friday,1,0.0,1.0,0,0,0,1,0,6,20.3,33.0,53.3,5.0,24.3,0
2026-01-02,2026-01-02 08:55:00,8,4,Friday,1,0.0,1.0,0,0,0,1,0,5,24.6,16.7,41.2,6.0,20.3,0
2026-01-02,2026-01-02 08:58:00,8,4,Friday,1,0.0,1.0,0,0,0,1,0,10,19.9,22.0,41.9,5.0,24.6,0
2026-01-02,2026-01-02 09:03:00,9,4,Friday,1,0.0,1.0,0,0,0,1,1,40,46.1,67.4,113.5,10.0,19.9,0
2026-01-02,2026-01-02 09:07:00,9,4,Friday,1,0.0,1.0,0,0,0,1,1,41,55.2,54.2,109.5,40.0,46.1,0
2026-01-02,2026-01-02 09:17:00,9,4,Friday,1,0.0,1.0,0,0,0,1,1,13,44.9,39.7,84.6,41.0,55.2,0
2026-01-02,2026-01-02 09:21:00,9,4,Friday,1,0.0,1.0,0,0,0,1,1,30,46.2,74.4,120.5,13.0,44.9,0
2026-01-02,2026-01-02 09:32:00,9,4,Friday,1,0.0,1.0,0,0,0,1,1,25,51.2,50.9,102.0,30.0,46.2,0
2026-01-02,2026-01-02 09:34:00,9,4,Friday,1,0.0,1.0,0,0,0,1,1,33,52.3,50.3,102.6,25.0,51.2,0
2026-01-02,2026-01-02 09:47:00,9,4,Friday,1,0.0,1.0,0,0,0,1,1,14,44.0,49.5,93.5,33.0,52.3,0
2026-01-02,2026-01-02 09:47:00,9,4,Friday,1,0.0,1.0,0,0,0,1,1,14,43.9,42.7,86.6,14.0,44.0,0
2026-01-02,2026-01-02 09:47:00,9,4,Friday,1,0.0,1.0,0,0,0,1,1,27,46.7,68.1,114.8,14.0,43.9,0
2026-01-02,2026-01-02 09:50:00,9,4,Friday,1,0.0,1.0,0,0,0,1,1,26,55.9,55.5,111.4,27.0,46.7,0
2026-01-02,2026-01-02 10:01:00,10,4,Friday,1,0.0,1.0,0,0,0,1,1,34,60.2,71.3,131.5,26.0,55.9,0
2026-01-02,2026-01-02 10:16:00,10,4,Friday,1,0.0,1.0,0,0,0,1,1,33,71.8,66.1,137.9,34.0,60.2,0
2026-01-02,2026-01-02 10:17:00,10,4,Friday,1,0.0,1.0,0,0,0,1,1,27,66.1,62.1,128.2,33.0,71.8,0
2026-01-02,2026-01-02 10:23:00,10,4,Friday,1,0.0,1.0,0,0,0,1,1,39,59.3,74.7,134.0,27.0,66.1,0
2026-01-02,2026-01-02 10:34:00,10,4,Friday,1,0.0,1.0,0,0,0,1,1,29,69.8,72.8,142.7,39.0,59.3,0
2026-01-02,2026-01-02 10:43:00,10,4,Friday,1,0.0,1.0,0,0,0,1,1,38,73.6,72.4,146.0,29.0,69.8,0
2026-01-02,2026-01-02 10:48:00,10,4,Friday,1,0.0,1.0,0,0,0,1,1,27,66.0,74.4,140.4,38.0,73.6,0
2026-01-02,2026-01-02 10:51:00,10,4,Friday,1,0.0,1.0,0,0,0,1,1,25,61.0,54.5,115.5,27.0,66.0,0
2026-01-02,2026-01-02 11:00:00,11,4,Friday,1,0.0,1.0,0,0,0,1,1,25,49.6,58.3,107.9,25.0,61.0,0
2026-01-02,2026-01-02 11:05:00,11,4,Friday,1,0.0,1.0,0,0,0,1,1,35,51.8,48.8,100.6,25.0,49.6,0
2026-01-02,2026-01-02 11:12:00,11,4,Friday,1,0.0,1.0,0,0,0,1,1,34,62.7,54.7,117.4,35.0,51.8,0
2026-01-02,2026-01-02 11:15:00,11,4,Friday,1,0.0,1.0,0,0,0,1,1,43,47.6,55.1,102.7,34.0,62.7,0
2026-01-02,2026-01-02 11:16:00,11,4,Friday,1,0.0,1.0,0,0,0,1,1,43,53.3,58.2,111.5,43.0,47.6,0
2026-01-02,2026-01-02 11:21:00,11,4,Friday,1,0.0,1.0,0,0,0,1,1,41,56.5,46.1,102.6,43.0,53.3,0
2026-01-02,2026-01-02 11:23:00,11,4,Friday,1,0.0,1.0,0,0,0,1,1,31,61.8,60.0,121.9,41.0,56.5,0
2026-01-02,2026-01-02 11:27:00,11,4,Friday,1,0.0,1.0,0,0,0,1,1,43,56.3,59.0,115.3,31.0,61.8,0
2026-01-02,2026-01-02 11:28:00,11,4,Friday,1,0.0,1.0,0,0,0,1,1,27,51.6,52.7,104.3,43.0,56.3,0
2026-01-02,2026-01-02 11:29:00,11,4,Friday,1,0.0,1.0,0,0,0,1,1,32,55.7,66.8,122.5,27.0,51.6,0
2026-01-02,2026-01-02 11:32:00,11,4,Friday,1,0.0,1.0,0,0,0,1,1,36,60.4,74.0,134.4,32.0,55.7,0
2026-01-02,2026-01-02 11:38:00,11,4,Friday,1,0.0,1.0,0,0,0,1,1,37,48.2,50.8,99.0,36.0,60.4,0
2026-01-02,2026-01-02 11:44:00,11,4,Friday,1,0.0,1.0,0,0,0,1,1,32,50.0,66.1,116.0,37.0,48.2,0
2026-01-02,2026-01-02 11:54:00,11,4,Friday,1,0.0,1.0,0,0,0,1,1,33,50.9,65.7,116.5,32.0,50.0,0
2026-01-02,2026-01-02 12:00:00,12,4,Friday,1,0.0,1.0,0,0,0,1,0,18,29.5,43.1,72.7,33.0,50.9,0
2026-01-02,2026-01-02 12:00:00,12,4,Friday,1,0.0,1.0,0,0,0,1,0,24,26.3,33.3,59.6,18.0,29.5,0
2026-01-02,2026-01-02 12:04:00,12,4,Friday,1,0.0,1.0,0,0,0,1,0,18,26.9,31.0,57.8,24.0,26.3,0
2026-01-02,2026-01-02 12:09:00,12,4,Friday,1,0.0,1.0,0,0,0,1,0,15,29.5,30.9,60.4,18.0,26.9,0
2026-01-02,2026-01-02 12:15:00,12,4,Friday,1,0.0,1.0,0,0,0,1,0,6,22.9,24.5,47.3,15.0,29.5,0
2026-01-02,2026-01-02 12:23:00,12,4,Friday,1,0.0,1.0,0,0,0,1,0,13,29.5,30.5,60.0,6.0,22.9,0
2026-01-02,2026-01-02 12:25:00,12,4,Friday,1,0.0,1.0,0,0,0,1,0,6,24.9,17.4,42.3,13.0,29.5,0
2026-01-02,2026-01-02 12:28:00,12,4,Friday,1,0.0,1.0,0,0,0,1,0,6,23.0,16.9,39.9,6.0,24.9,0
2026-01-02,2026-01-02 12:29:00,12,4,Friday,1,0.0,1.0,0,0,0,1,0,15,28.8,33.5,62.3,6.0,23.0,0
2026-01-02,2026-01-02 12:30:00,12,4,Friday,1,0.0,1.0,0,0,0,1,0,4,22.2,25.1,47.3,15.0,28.8,0
2026-01-02,2026-01-02 12:31:00,12,4,Friday,1,0.0,1.0,0,0,0,1,0,19,29.4,43.5,73.0,4.0,22.2,0
2026-01-02,2026-01-02 12:32:00,12,4,Friday,1,0.0,1.0,0,0,0,1,0,16,25.7,38.0,63.7,19.0,29.4,0
2026-01-02,2026-01-02 12:53:00,12,4,Friday,1,0.0,1.0,0,0,0,1,0,19,27.7,48.7,76.4,16.0,25.7,0
2026-01-02,2026-01-02 13:06:00,13,4,Friday,1,0.0,1.0,0,0,0,1,0,16,42.5,37.0,79.5,19.0,27.7,0
2026-01-02,2026-01-02 13:09:00,13,4,Friday,1,0.0,1.0,0,0,0,1,0,24,43.8,31.4,75.2,16.0,42.5,0
2026-01-02,2026-01-02 13:09:00,13,4,Friday,1,0.0,1.0,0,0,0,1,0,13,41.1,35.2,76.3,24.0,43.8,0
2026-01-02,2026-01-02 13:10:00,13,4,Friday,1,0.0,1.0,0,0,0,1,0,28,53.4,57.5,111.0,13.0,41.1,0
2026-01-02,2026-01-02 13:22:00,13,4,Friday,1,0.0,1.0,0,0,0,1,0,19,41.8,37.7,79.5,28.0,53.4,0
2026-01-02,2026-01-02 13:30:00,13,4,Friday,1,0.0,1.0,0,0,0,1,0,43,46.2,63.5,109.8,19.0,41.8,0
2026-01-02,2026-01-02 13:34:00,13,4,Friday,1,0.0,1.0,0,0,0,1,0,40,55.1,48.8,103.9,43.0,46.2,0
2026-01-02,2026-01-02 13:36:00,13,4,Friday,1,0.0,1.0,0,0,0,1,0,25,49.8,73.8,123.6,40.0,55.1,0
2026-01-02,2026-01-02 13:56:00,13,4,Friday,1,0.0,1.0,0,0,0,1,0,29,48.7,67.5,116.2,25.0,49.8,0
2026-01-02,2026-01-02 13:59:00,13,4,Friday,1,0.0,1.0,0,0,0,1,0,24,42.7,40.9,83.6,29.0,48.7,0
2026-01-02,2026-01-02 14:06:00,14,4,Friday,1,0.0,1.0,0,0,0,1,1,44,68.2,62.2,130.4,24.0,42.7,0
2026-01-02,2026-01-02 14:11:00,14,4,Friday,1,0.0,1.0,0,0,0,1,1,43,68.3,47.7,116.0,44.0,68.2,0
2026-01-02,2026-01-02 14:16:00,14,4,Friday,1,0.0,1.0,0,0,0,1,1,44,60.6,69.8,130.4,43.0,68.3,0
2026-01-02,2026-01-02 14:21:00,14,4,Friday,1,0.0,1.0,0,0,0,1,1,43,56.4,56.7,113.0,44.0,60.6,0
2026-01-02,2026-01-02 14:24:00,14,4,Friday,1,0.0,1.0,0,0,0,1,1,28,61.0,73.4,134.4,43.0,56.4,0
2026-01-02,2026-01-02 14:38:00,14,4,Friday,1,0.0,1.0,0,0,0,1,1,29,61.4,52.2,113.6,28.0,61.0,0
2026-01-02,2026-01-02 14:46:00,14,4,Friday,1,0.0,1.0,0,0,0,1,1,29,52.5,53.8,106.3,29.0,61.4,0
2026-01-02,2026-01-02 14:54:00,14,4,Friday,1,0.0,1.0,0,0,0,1,1,27,64.5,48.1,112.6,29.0,52.5,0
2026-01-02,2026-01-02 15:00:00,15,4,Friday,1,0.0,1.0,0,0,0,1,1,41,56.8,73.4,130.2,27.0,64.5,0
2026-01-02,2026-01-02 15:08:00,15,4,Friday,1,0.0,1.0,0,0,0,1,1,36,55.0,71.0,126.0,41.0,56.8,0
2026-01-02,2026-01-02 15:08:00,15,4,Friday,1,0.0,1.0,0,0,0,1,1,26,55.9,47.4,103.4,36.0,55.0,0
2026-01-02,2026-01-02 15:13:00,15,4,Friday,1,0.0,1.0,0,0,0,1,1,29,51.8,67.1,118.9,26.0,55.9,0
2026-01-02,2026-01-02 15:28:00,15,4,Friday,1,0.0,1.0,0,0,0,1,1,42,48.7,74.1,122.8,29.0,51.8,0
2026-01-02,2026-01-02 15:36:00,15,4,Friday,1,0.0,1.0,0,0,0,1,1,32,46.9,56.2,103.1,42.0,48.7,0
2026-01-02,2026-01-02 15:37:00,15,4,Friday,1,0.0,1.0,0,0,0,1,1,24,44.6,34.5,79.1,32.0,46.9,0
2026-01-02,2026-01-02 15:38:00,15,4,Friday,1,0.0,1.0,0,0,0,1,1,21,44.7,49.5,94.2,24.0,44.6,0
2026-01-02,2026-01-02 16:09:00,16,4,Friday,1,0.0,1.0,0,0,0,1,0,18,35.9,38.7,74.6,21.0,44.7,0
2026-01-02,2026-01-02 16:18:00,16,4,Friday,1,0.0,1.0,0,0,0,1,0,17,34.7,44.1,78.8,18.0,35.9,0
2026-01-02,2026-01-02 16:19:00,16,4,Friday,1,0.0,1.0,0,0,0,1,0,24,28.3,46.5,74.8,17.0,34.7,0
2026-01-02,2026-01-02 16:32:00,16,4,Friday,1,0.0,1.0,0,0,0,1,0,17,29.3,46.0,75.4,24.0,28.3,0
2026-01-02,2026-01-02 16:38:00,16,4,Friday,1,0.0,1.0,0,0,0,1,0,24,34.4,34.8,69.1,17.0,29.3,0
2026-01-02,2026-01-02 16:44:00,16,4,Friday,1,0.0,1.0,0,0,0,1,0,17,34.4,44.2,78.6,24.0,34.4,0
2026-01-02,2026-01-02 16:44:00,16,4,Friday,1,0.0,1.0,0,0,0,1,0,23,27.3,41.4,68.7,17.0,34.4,0
2026-01-02,2026-01-02 16:56:00,16,4,Friday,1,0.0,1.0,0,0,0,1,0,12,30.8,31.7,62.5,23.0,27.3,0
2026-01-03,2026-01-03 08:11:00,8,5,Saturday,1,0.0,1.0,0,0,0,0,0,9,15.9,22.9,38.8,3.0,10.0,1
2026-01-03,2026-01-03 08:17:00,8,5,Saturday,1,0.0,1.0,0,0,0,0,0,6,13.6,27.3,40.9,9.0,15.9,1
2026-01-03,2026-01-03 08:18:00,8,5,Saturday,1,0.0,1.0,0,0,0,0,0,3,16.0,18.3,34.3,6.0,13.6,1
2026-01-03,2026-01-03 08:20:00,8,5,Saturday,1,0.0,1.0,0,0,0,0,0,6,16.1,20.1,36.1,3.0,16.0,1
2026-01-03,2026-01-03 08:23:00,8,5,Saturday,1,0.0,1.0,0,0,0,0,0,9,14.5,18.4,32.9,6.0,16.1,1
2026-01-03,2026-01-03 08:26:00,8,5,Saturday,1,0.0,1.0,0,0,0,0,0,2,14.8,20.6,35.4,9.0,14.5,1
2026-01-03,2026-01-03 08:27:00,8,5,Saturday,1,0.0,1.0,0,0,0,0,0,10,12.2,20.2,32.4,2.0,14.8,1
2026-01-03,2026-01-03 08:31:00,8,5,Saturday,1,0.0,1.0,0,0,0,0,0,6,14.2,15.9,30.1,10.0,12.2,1
2026-01-03,2026-01-03 08:35:00,8,5,Saturday,1,0.0,1.0,0,0,0,0,0,11,13.8,19.6,33.4,6.0,14.2,1
2026-01-03,2026-01-03 08:48:00,8,5,Saturday,1,0.0,1.0,0,0,0,0,0,2,14.8,27.6,42.4,11.0,13.8,1
2026-01-03,2026-01-03 08:52:00,8,5,Saturday,1,0.0,1.0,0,0,0,0,0,4,15.3,31.5,46.8,2.0,14.8,1
2026-01-03,2026-01-03 08:53:00,8,5,Saturday,1,0.0,1.0,0,0,0,0,0,8,13.5,15.9,29.4,4.0,15.3,1
2026-01-03,2026-01-03 09:00:00,9,5,Saturday,1,0.0,1.0,0,0,0,0,1,8,23.9,32.3,56.2,8.0,13.5,1
2026-01-03,2026-01-03 09:04:00,9,5,Saturday,1,0.0,1.0,0,0,0,0,1,2,24.0,30.6,54.6,8.0,23.9,1
2026-01-03,2026-01-03 09:09:00,9,5,Saturday,1,0.0,1.0,0,0,0,0,1,13,31.6,41.0,72.7,2.0,24.0,1
2026-01-03,2026-01-03 09:09:00,9,5,Saturday,1,0.0,1.0,0,0,0,0,1,16,27.0,39.0,66.0,13.0,31.6,1
2026-01-03,2026-01-03 09:16:00,9,5,Saturday,1,0.0,1.0,0,0,0,0,1,16,28.3,49.9,78.2,16.0,27.0,1
2026-01-03,2026-01-03 09:17:00,9,5,Saturday,1,0.0,1.0,0,0,0,0,1,12,32.1,37.5,69.6,16.0,28.3,1
2026-01-03,2026-01-03 09:25:00,9,5,Saturday,1,0.0,1.0,0,0,0,0,1,17,27.0,46.6,73.6,12.0,32.1,1
2026-01-03,2026-01-03 09:48:00,9,5,Saturday,1,0.0,1.0,0,0,0,0,1,13,30.8,30.7,61.6,17.0,27.0,1
2026-01-03,2026-01-03 09:52:00,9,5,Saturday,1,0.0,1.0,0,0,0,0,1,16,28.7,48.9,77.6,13.0,30.8,1
2026-01-03,2026-01-03 10:00:00,10,5,Saturday,1,0.0,1.0,0,0,0,0,1,24,37.5,34.1,71.6,16.0,28.7,1
2026-01-03,2026-01-03 10:00:00,10,5,Saturday,1,0.0,1.0,0,0,0,0,1,27,34.7,30.9,65.6,24.0,37.5,1
2026-01-03,2026-01-03 10:00:00,10,5,Saturday,1,0.0,1.0,0,0,0,0,1,16,33.5,31.8,65.3,27.0,34.7,1
2026-01-03,2026-01-03 10:10:00,10,5,Saturday,1,0.0,1.0,0,0,0,0,1,17,30.2,42.3,72.5,16.0,33.5,1
2026-01-03,2026-01-03 10:14:00,10,5,Saturday,1,0.0,1.0,0,0,0,0,1,26,32.4,44.5,76.9,17.0,30.2,1
2026-01-03,2026-01-03 10:22:00,10,5,Saturday,1,0.0,1.0,0,0,0,0,1,16,35.5,42.8,78.3,26.0,32.4,1
2026-01-03,2026-01-03 10:28:00,10,5,Saturday,1,0.0,1.0,0,0,0,0,1,19,29.5,46.8,76.3,16.0,35.5,1
2026-01-03,2026-01-03 10:29:00,10,5,Saturday,1,0.0,1.0,0,0,0,0,1,14,34.2,44.0,78.2,19.0,29.5,1
2026-01-03,2026-01-03 10:30:00,10,5,Saturday,1,0.0,1.0,0,0,0,0,1,21,29.2,40.0,69.1,14.0,34.2,1
2026-01-03,2026-01-03 10:33:00,10,5,Saturday,1,0.0,1.0,0,0,0,0,1,13,31.5,42.7,74.3,21.0,29.2,1
2026-01-03,2026-01-03 10:53:00,10,5,Saturday,1,0.0,1.0,0,0,0,0,1,22,35.7,36.2,71.9,13.0,31.5,1
2026-01-03,2026-01-03 10:56:00,10,5,Saturday,1,0.0,1.0,0,0,0,0,1,19,33.1,48.2,81.3,22.0,35.7,1
2026-01-03,2026-01-03 10:58:00,10,5,Saturday,1,0.0,1.0,0,0,0,0,1,27,32.0,39.6,71.6,19.0,33.1,1
2026-01-03,2026-01-03 11:03:00,11,5,Saturday,1,0.0,1.0,0,0,0,0,1,9,22.6,23.2,45.8,27.0,32.0,1
2026-01-03,2026-01-03 11:04:00,11,5,Saturday,1,0.0,1.0,0,0,0,0,1,11,24.7,32.9,57.6,9.0,22.6,1
2026-01-03,2026-01-03 11:22:00,11,5,Saturday,1,0.0,1.0,0,0,0,0,1,7,22.2,29.0,51.2,11.0,24.7,1
2026-01-03,2026-01-03 11:31:00,11,5,Saturday,1,0.0,1.0,0,0,0,0,1,3,24.8,27.0,51.8,7.0,22.2,1
2026-01-03,2026-01-03 11:41:00,11,5,Saturday,1,0.0,1.0,0,0,0,0,1,6,22.6,26.0,48.6,3.0,24.8,1
2026-01-03,2026-01-03 11:50:00,11,5,Saturday,1,0.0,1.0,0,0,0,0,1,6,21.6,21.9,43.5,6.0,22.6,1
2026-01-03,2026-01-03 11:52:00,11,5,Saturday,1,0.0,1.0,0,0,0,0,1,4,23.9,25.7,49.6,6.0,21.6,1
2026-01-03,2026-01-03 11:59:00,11,5,Saturday,1,0.0,1.0,0,0,0,0,1,6,21.7,34.6,56.3,4.0,23.9,1
2026-01-03,2026-01-03 12:07:00,12,5,Saturday,1,0.0,1.0,0,0,0,0,0,5,21.5,19.2,40.7,6.0,21.7,1
2026-01-03,2026-01-03 12:13:00,12,5,Saturday,1,0.0,1.0,0,0,0,0,0,10,19.0,16.8,35.8,5.0,21.5,1
2026-01-03,2026-01-03 12:13:00,12,5,Saturday,1,0.0,1.0,0,0,0,0,0,11,19.8,15.7,35.5,10.0,19.0,1
2026-01-03,2026-01-03 12:45:00,12,5,Saturday,1,0.0,1.0,0,0,0,0,0,3,21.5,23.9,45.4,11.0,19.8,1
2026-01-03,2026-01-03 12:46:00,12,5,Saturday,1,0.0,1.0,0,0,0,0,0,9,20.8,32.5,53.2,3.0,21.5,1
2026-01-03,2026-01-03 12:47:00,12,5,Saturday,1,0.0,1.0,0,0,0,0,0,11,17.4,32.4,49.7,9.0,20.8,1
2026-01-03,2026-01-03 12:55:00,12,5,Saturday,1,0.0,1.0,0,0,0,0,0,11,19.9,30.2,50.1,11.0,17.4,1
2026-01-03,2026-01-03 12:55:00,12,5,Saturday,1,0.0,1.0,0,0,0,0,0,4,17.8,32.9,50.7,11.0,19.9,1
